STOCK,CURR_PRICE,OPEN,HIGH,LOW,PREV_CLOSE
STRAEXPO,12.58,#N/A,#N/A,#N/A,12.58
RAWEDGE,33.1,#N/A,#N/A,#N/A,33.1
IPRU3143,8.63,#N/A,#N/A,#N/A,8.63
IPRU3144,10,#N/A,#N/A,#N/A,10
IPRU9345,0,#N/A,#N/A,#N/A,10
IPRU9346,0,#N/A,#N/A,#N/A,10
TVF1D,9.51,#N/A,#N/A,#N/A,10
TVF1DZ,12.22,#N/A,#N/A,#N/A,12.22
TVF1G,11.5,#N/A,#N/A,#N/A,11.5
TVF1GZ,6.01,#N/A,#N/A,#N/A,6.01
TCNSBRANDS,483.95,485.2,490.15,482.25,483.25
SUPERSHAKT,285,#N/A,#N/A,#N/A,285
ASHNI,5.7,6.27,6.27,5.7,5.99
GFIL,6.25,6.25,6.25,6.25,6.04
IDFCEOS6RG,12.8,#N/A,#N/A,#N/A,12.8
IDFCEOS6RD,8.19,#N/A,#N/A,#N/A,8.19
IDFCEOS6DG,0,#N/A,#N/A,#N/A,10
IDFCEOS6DD,0,#N/A,#N/A,#N/A,10
HDFCAMC,2773.05,2787,2821.5,2758.45,2790.95
VIVANTA,7.71,7.71,7.71,7.71,8.11
TINNATFL,13.91,13.91,13.91,13.91,13.25
TVF2D,11.6,12.6,12.6,11.6,11.59
TVF2DZ,13.1,#N/A,#N/A,#N/A,13.1
TVF2G,11.21,11.21,11.21,11.21,11.31
TVF2GZ,23.4,#N/A,#N/A,#N/A,23.4
CREDITACC,597.75,603,606.55,589.9,606.25
AMINTAN,0.83,0.74,0.88,0.72,0.84
DEEP,67.95,71.5,78.95,65.5,70
SMEL,6.84,#N/A,#N/A,#N/A,6.84
IPRU3168,11.4,#N/A,#N/A,#N/A,11.4
IPRU3169,11.5,#N/A,#N/A,#N/A,11.5
IPRU9370,0,#N/A,#N/A,#N/A,10
IPRU9371,0,#N/A,#N/A,#N/A,10
ICICINXT50,35.44,35.4,35.9,34.9,35.54
ASRL,50.5,52.1,54.9,50,53.6
KTKIND7RG,8.73,#N/A,#N/A,#N/A,8.73
KTKIND7RD,0,#N/A,#N/A,#N/A,10
KTKIND7DG,0,#N/A,#N/A,#N/A,10
KTKIND7DD,0,#N/A,#N/A,#N/A,10
SPACEINCUBA,0.84,0.84,0.86,0.84,0.85
SGIL,83,#N/A,#N/A,#N/A,83
RANJEET,10.6,#N/A,#N/A,#N/A,10.6
IRCON,89.65,90,91.25,89.45,90.45
SKYGOLD,182,#N/A,#N/A,#N/A,182
SETFSN50,403.02,411.99,413.99,403.01,411.16
MACH,68,#N/A,#N/A,#N/A,68
MANORAMA,890.95,880,901.6,880,875.7
INNOVATIVE,7.4,7,7.4,7,6.9
