STOCK,CURR_PRICE,OPEN,HIGH,LOW,PREV_CLOSE
BHARATGEAR,78.4,78.15,80.15,77.8,79.25
BHARATRAS,12120,11400,12499,11400,11809.15
BHARATWIRE,46.8,44.8,47.25,44,45
BHARTIARTL,535.5,533.5,547,533.5,540.85
BHEL,48.1,46.8,49.4,46.2,47.2
BIGBLOC,83,86.7,86.7,81.25,83
BIL,197.6,192,199,182.55,192.15
BINDALAGRO,16.8,17.25,17.25,16.5,16.95
BIOCON,379.4,391.8,391.8,378.2,393.9
BIOFILCHEM,74.1,74.1,77,74.1,77.95
BIRLACABLE,58.5,59.4,59.4,58.2,58.6
BIRLACORPN,924,919,929.8,915.5,918.8
BIRLAMONEY,40,40.2,40.55,39.95,40.25
BIRLATYRE,24.65,24.25,25.6,23.8,24.25
BKMINDST,0.95,0.9,0.95,0.9,0.9
BLBLIMITED,6,6.2,6.2,6,6.1
BLISSGVS,101.7,101.2,105,100.2,101.4
BLKASHYAP,15.8,16,16.5,15.5,16.1
BLS,90.6,90,92.5,90,90.55
BLUEDART,5265,5279,5424.95,5221.9,5321.9
BLUESTARCO,845.95,866.5,866.5,840,866.95
BODALCHEM,96.45,96.9,101.7,96.05,97.35
BOMDYEING,66,66.6,68.15,66,67.2
BOROLTD,196.25,193.1,204,192.35,193.8
BORORENEW,233.45,235.8,237.45,230.15,236.7
BOSCHLTD,13520,13475,13630,13460.05,13571.5
BPCL,422.1,417.5,437.5,414.65,419.55
BPL,34.2,34.55,37.8,34.2,36
BRFL,7.15,6.9,7.3,6.7,6.95
BRIGADE,251.3,254.7,257.2,250,253.4
BRITANNIA,3444.8,3460,3468.35,3437,3468.9
BRNL,27.9,28.6,28.6,27.2,28.25
BROOKS,85.05,78.65,85.05,78.65,81
BSE,600,602,613.5,594.95,605.4
BSELINFRA,0.9,0.95,0.95,0.9,0.9
BSHSL,133,137.95,137.95,132.45,135.05
BSL,36.8,37.95,37.95,36.05,37.75
BSOFT,245.75,245,249.7,244,245.85
BURGERKING,130,129.9,132.1,129.6,131.2
BURNPUR,2.5,2.5,2.5,2.4,2.4
BUTTERFLY,655.2,669,683,652,671.25
BVCL,18,17,18.15,17,17.6
BYKE,18.25,18.4,18.7,18.1,18.7
CADILAHC,570.9,559.8,578.85,558.1,561.5
CALSOFT,8.7,8.35,8.85,8.35,8.6
CAMLINFINE,154.3,154.1,159,153,157.05
CAMS,2335,2362,2362,2113.95,2368.05
CANBK,138.3,137.4,143.9,136.5,139.5
CANDC,4.25,4.5,4.5,4.25,4.35
CANFINHOME,584.95,571.1,589.2,570.6,580.3
CANTABIL,369.6,370.55,371.95,369.6,371.55
CAPACITE,189,189.35,194.95,188.1,188.4
CAPLIPOINT,493.5,495,504,491.1,499.75
CAPTRUST,84.95,88.75,88.75,83.7,87.8
CARBORUNIV,545.8,523,570,509.45,523.8
CAREERP,119.35,119.45,120.5,118.7,119.2
CARERATING,497.45,497.7,509,490,497.2
CASTEXTECH,0.65,0.65,0.7,0.6,0.65
CASTROLIND,125.25,126,126.3,125,126.6
CCHHL,4.6,4.7,4.95,4.1,4.8
CCL,269.75,259.8,272.3,258.55,260.8
CDSL,810,803,827,802,803.45
CEATLTD,1380,1360,1417.7,1346.4,1364.75
CEBBCO,16.65,16.8,16.85,16.25,16.6
CELEBRITY,5.3,5.4,5.45,5.2,5.4
CENTENKA,252,254.95,258.95,248.1,255.4
CENTEXT,5.1,5.3,5.3,5,5.05
CENTRALBK,16.3,16.15,16.45,16.15,16.35
CENTRUM,30.1,28,32,27.05,28.2
CENTUM,393,380.6,415.4,380.6,399.75
CENTURYPLY,350,336,362,331,336.65
CENTURYTEX,490.15,485,498,473.8,491.6
CERA,3867,3829.95,3905.55,3811.1,3831.95
CEREBRAINT,50.35,49,50.85,48.5,49.3
CESC,606.65,615,622.3,604.15,623.15
CGCL,452,426,455,425,419.45
CGPOWER,69.5,71,71,68.85,70.2
CHALET,142.2,141.05,145.8,139.8,141.8
CHAMBLFERT,214.75,218.9,221.7,214.6,219.45
CHEMBOND,209,204,213.55,203.85,207.35
CHEMCON,426,425,435.5,425,436
CHEMFAB,156,155.7,163.4,151,157.75
CHENNPETRO,110,112.45,114.45,109.7,112.9
CHOLAFIN,570.5,589.75,600.95,564.95,592.5
CHOLAHLDNG,569.9,568,574,564.55,568.9
CIGNITITEC,396.05,407,409,391.3,418.3
CINELINE,31.55,31.85,32.25,31.55,32.3
CINEVISTA,11.95,11.95,11.95,11.95,12.55
CIPLA,910,900.75,921,900.75,906.5
CLEDUCATE,89.25,85.45,89.25,84.1,85
CLNINDIA,436.5,437.5,445.4,431.25,437.5
CMICABLES,42.65,44.4,44.85,42.65,43.85
COALINDIA,133,127.4,134.6,127,128.05
COCHINSHIP,364.85,356.5,371.2,355,359.2
COFFEEDAY,37.65,37.65,41.55,37.65,39.6
COFORGE,2867,2843.8,2919.75,2820.6,2844.7
COLPAL,1478.35,1481,1493,1468,1485.8
COMPINFO,17.35,17.5,18,17.3,17.85
COMPUSOFT,8.9,9.05,9.05,8.65,8.95
CONCOR,589.4,557.85,605,551.3,557.3
CONFIPET,61.85,55.8,63.5,55,53.75
